path,total,total_google_urls,healthgrades,zocdoc,vitals,ratemds,yelp
MissingOutputKeywords_GoogleSearch_s740000_e760000.p,8095,160928,6372,1814,6294,1356,428
MissingOutputKeywords_GoogleSearch_s760000_e770000.p,4575,90709,3484,1000,3502,719,241
MissingOutputKeywords_GoogleSearch_s770000_e780000.p,4618,91600,3618,1059,3607,718,240
MissingOutputKeywords_GoogleSearch_s780000_e790000.p,4949,98334,3922,1128,3925,819,240
MissingOutputKeywords_GoogleSearch_s790000_e800000.p,4418,87765,3456,1016,3524,757,300
MissingOutputKeywords_GoogleSearch_s800000_e820000.p,9374,186482,7476,2165,7557,1770,587
MissingOutputKeywords_GoogleSearch_s80000_e90000.p,4908,97578,3852,1108,3876,844,250
MissingOutputKeywords_GoogleSearch_s820000_e830000.p,4795,95427,3777,1072,3833,902,300
MissingOutputKeywords_GoogleSearch_s830000_e840000.p,4394,87372,3436,976,3475,822,261
MissingOutputKeywords_GoogleSearch_s840000_e860000.p,8657,171736,6719,1913,6602,1297,442
MissingOutputKeywords_GoogleSearch_s860000_e880000.p,5620,111547,4372,1270,4448,868,287
MissingOutputKeywords_GoogleSearch_s90000_e100000.p,4640,92307,3587,1041,3679,854,258
